Desc_1,Desc_2,Desc_3,Desc_4,MSE,r2,MAE,C1,C2,C3,C4
TPSA_C,-,-,-,100366.88408852,0.00955387159162324,308.002807278333,-0.123734776438376,0,0,0
PEOE_VSA6_C,-,-,-,100366.88408852,0.00955387159162324,308.002807278333,0.279206099449041,0,0,0
TPSA_C,PEOE_VSA6_C,-,-,100366.88408852,0.00955387159162313,308.002807278333,-0.103422883648101,0.0458335523903752,0,0
PEOE_VSA6_S,-,-,-,120581.874595301,-0.189932834258427,341.070203501667,-99.8398789458039,0,0,0
TPSA_C,PEOE_VSA6_C,PEOE_VSA6_S,-,131580.608512186,-0.298471158669944,354.055690525,0.157890766091181,-0.0699718905939548,-114.968007359515,0
TPSA_C,PEOE_VSA6_S,-,-,131580.608512186,-0.298471158669945,354.055690525,0.188899960577613,-114.968007359515,0,0
PEOE_VSA6_C,PEOE_VSA6_S,-,-,131580.608512186,-0.298471158669945,354.055690525,-0.426250587725597,-114.968007359515,0,0
