Desc_1,Desc_2,Desc_3,Desc_4,MSE,r2,MAE,C1,C2,C3,C4
TPSA_C,-,-,-,103099.490148534,-0.017412185162897,313.332233514167,0,0,0,0
PEOE_VSA6_C,-,-,-,103099.490148534,-0.017412185162897,313.332233514167,0,0,0,0
TPSA_C,PEOE_VSA6_C,-,-,103099.490148534,-0.017412185162897,313.332233514167,0,0,0,0
PEOE_VSA6_S,-,-,-,113617.467078745,-0.121206276449311,332.624254071627,0,0,0,0
TPSA_C,PEOE_VSA6_S,-,-,120436.665064801,-0.188499869405556,334.642957993333,0,0,0,0
PEOE_VSA6_C,PEOE_VSA6_S,-,-,120436.665064801,-0.188499869405556,334.642957993333,0,0,0,0
TPSA_C,PEOE_VSA6_C,PEOE_VSA6_S,-,122127.423978736,-0.205184711578217,338.492238897222,0,0,0,0
