,RD_KIT_Desc,Synthesis_Metric,P_Value
126,fr_nitro,avg,0.03365016836371852
127,NumRotatableBonds,avg,0.03365016836371852
128,fr_nitro_arom_nonortho,avg,0.03365016836371852
129,fr_nitro_arom,avg,0.03365016836371852
130,EState_VSA4,Std_dev_(mps),0.03344450518240492
131,FpDensityMorgan1,sq,0.03341809328679643
132,PEOE_VSA7,Std_dev_(mps),0.033241651729109374
133,MinAbsEStateIndex,sa,0.033000358097082995
134,Chi1v,kur,0.03289237848120465
135,FpDensityMorgan2,avg,0.032873020806732614
136,fr_ether,hydrophilic_section,0.0328377390224305
137,SlogP_VSA1,Solvent,0.03280136864853983
138,VSA_EState4,avg,0.03278455449338748
139,EState_VSA10,hydrophbic_section,0.03254587381182175
140,BCUT2D_MWHI,Std_dev_(mps),0.03240421571998779
141,MinAbsEStateIndex,sq,0.0323980564097839
142,NumHAcceptors,Solvent,0.03232208224954859
143,VSA_EState5,sa,0.03229166844123763
144,EState_VSA10,hydrophilic_section,0.032272935161986
145,BCUT2D_MRLOW,avg,0.03219792148259371
146,fr_halogen,avg,0.03213138344685576
147,fr_alkyl_halide,avg,0.03213138344685576
148,NHOHCount,sa,0.031919854402995836
149,fr_phenol_noOrthoHbond,sa,0.031919854402995836
150,fr_phenol,sa,0.031919854402995836
151,fr_Ar_OH,sa,0.031919854402995836
152,fr_bicyclic,sa,0.031919854402995836
153,NumHDonors,sa,0.031919854402995836
154,VSA_EState5,sq,0.0318674673414352
155,FractionCSP3,sa,0.031648815676187436
156,NumHDonors,sq,0.03158556407795346
157,NHOHCount,sq,0.03158556407795346
158,fr_phenol_noOrthoHbond,sq,0.03158556407795346
159,fr_phenol,sq,0.03158556407795346
160,fr_Ar_OH,sq,0.03158556407795346
161,fr_bicyclic,sq,0.03158556407795346
162,Chi3n,ssk,0.031583895278966045
163,FpDensityMorgan1,avg,0.03154359223292052
164,FractionCSP3,sq,0.03146845249261976
165,MinAbsEStateIndex,avg,0.03108983508413549
166,VSA_EState5,avg,0.030835094550686608
167,NumHDonors,avg,0.030697586644746887
168,fr_phenol,avg,0.030697586644746887
169,NHOHCount,avg,0.030697586644746887
170,fr_phenol_noOrthoHbond,avg,0.030697586644746887
171,fr_bicyclic,avg,0.030697586644746887
172,fr_Ar_OH,avg,0.030697586644746887
173,FractionCSP3,avg,0.0306890328734
174,NOCount,Polar_dispersity,0.030475416476512123
175,FpDensityMorgan1,Polar_dispersity,0.030068579563909573
176,SMR_VSA6,kur,0.03006390071373997
177,Chi4v,ssk,0.03004860881705859
178,EState_VSA10,Polar_dispersity,0.030002487045494845
179,MaxAbsPartialCharge,avg,0.029643834794962288
180,EState_VSA5,Std_dev_(mps),0.029581893275195028
181,qed,avg,0.029551390008241776
182,fr_aryl_methyl,avg,0.029344360776374773
183,EState_VSA10,Area_Sphere_Substance,0.029332402553664667
184,NOCount,Area_Sphere_Substance,0.02922653104547644
185,Kappa1,Std_dev_(mps),0.02919591752750634
186,MaxAbsPartialCharge,sq,0.02916065169457631
187,NumAliphaticRings,Area_Sphere_Substance,0.029112821260432666
188,NumAliphaticHeterocycles,Area_Sphere_Substance,0.029112821260432666
189,qed,sq,0.028959704832769634
190,SMR_VSA1,Std_dev_(mps),0.02886306689155543
191,MaxPartialCharge,avg,0.028769055738359167
192,EState_VSA9,Std_dev_(mps),0.02875771107235094
193,MinAbsPartialCharge,avg,0.028752082945106377
194,fr_aryl_methyl,sq,0.02853981624632916
195,TPSA,kur,0.02846258485177555
196,MaxAbsPartialCharge,sa,0.028414960014902
197,BCUT2D_MWLOW,T of comp,0.028372533228295863
198,BCUT2D_MWLOW,T of solv,0.028372533228295863
199,qed,sa,0.028136748825432482
200,MinEStateIndex,avg,0.02779309717871203
201,fr_aryl_methyl,sa,0.02758654542324906
202,NumAromaticCarbocycles,Avg_roundness,0.027382045360570498
203,NumAromaticRings,Avg_roundness,0.027382045360570498
204,fr_benzene,Avg_roundness,0.027382045360570498
205,FpDensityMorgan1,Solvent,0.027367921588973398
206,MaxPartialCharge,sq,0.0273027684049347
207,Chi0,Std_dev_(mps),0.027277710103826472
208,MinAbsPartialCharge,sq,0.027266690924006128
209,BertzCT,hydrophobic,0.02682022723468753
210,MinPartialCharge,avg,0.026684787364656692
211,EState_VSA10,Conc of comp,0.026667712135505412
212,VSA_EState6,T of comp,0.026637386319671948
213,VSA_EState6,T of solv,0.026637386319671948
